video_id,comments
tczEKJZQFcQ,"[{'comment_text': 'Gosto e sempre curto você. Pergunta!!! Como dividir um programa comprido em PYTHON em 2 ou mais arquivos.... como fazer com a variáveis.... você tem um vídeo explicando, pois não achei ????', 'likes': 1}]"
ouzHY3s84BI,"[{'comment_text': 'Pra quem está cogitando transição de carreira, ja se focar em MLOps é uma boa?', 'likes': 0}, {'comment_text': 'Vcs recomendam algum curso de MLOps ?', 'likes': 0}]"
Dws59aZwcl8,[]
riylniiHTMU,[]
vCFv7tKK-eY,"[{'comment_text': 'A Gabriela é demais! Uma inspiração! 👏👏👏... E muito legal saber que ela gosta de Pato Fu, amooo hahah... Adorei o bate-papo, e a forma que foi conduzido, vou acompanhar o podcast!', 'likes': 2}, {'comment_text': 'Que mulher foda!', 'likes': 2}, {'comment_text': '👏👏👏👏 Que aula! E um high five!🖐🎲🎲', 'likes': 2}]"
VsHCrfWQTEk,[]
dZlAkSvrrQc,"[{'comment_text': 'Quando dá erro por falta de configuração do python, vc tem vídeo mostrando a correção ?', 'likes': 0}]"
QjoLhskodXA,"[{'comment_text': 'Segundo o Wes McKinney, o Feather ele é uma cópia bruta do que tá alocada na memória, e o maior ganho que você possui é justamente o que você falou de não ter serialização (propriamente dita) então feather ganha muito tempo de leitura e de escrita, porém eles consideram que pra armazenamento o parquet é meio que o ""optimal type"" por ordenar nativamente os vetores fazendo que as compressões sejam otimizadas. Parabéns pelo trabalho. :)', 'likes': 2}]"
Jx_CCX0nHgY,[]
XHJXQvbe2-M,"[{'comment_text': 'Um grupo de estudos da Lets data seria um sonho', 'likes': 1}]"
xaxsdtxGW2g,"[{'comment_text': 'show de vídeo', 'likes': 1}]"
hVOuCfJxprI,"[{'comment_text': 'Alguém poderia me dizer porque não precisa usar kfold nesse crossval score', 'likes': 1}, {'comment_text': 'Vc possue algum curso sobre o tema de analise de dados no panda?', 'likes': 1}, {'comment_text': 'boa tarde, professor. Esse notebook tá disponível em algum lugar pra gente baixar?', 'likes': 1}, {'comment_text': 'Muito boa a aula! Obrigado!', 'likes': 1}, {'comment_text': 'Professor, uma sugestão é fazer uma aula de xgboost para séries temporais.', 'likes': 2}, {'comment_text': ""Pra calcular o RMSE no sklearn é só mudar o parâmetro 'squared' do mean_squard_error para False, como em:\n\nsklearn.metrics.mean_squared_error(y_true, y_pred, *, sample_weight=None, multioutput='uniform_average', squared=False)\n\nObrigado pelas aulas! um abraço."", 'likes': 4}, {'comment_text': 'Aula muito boa!', 'likes': 1}, {'comment_text': 'Parabéns, professor. Ótima aula.', 'likes': 2}, {'comment_text': ""Quando gosto muito da aula, ainda que eu não tenha nada relevante pra comentar, cedo a irrelevância mesmo só para contribuir com o algoritmo de recomendação do youtube.. Aulas fantásticas! Apesar de superficial, dá uma 'visão de águia' sobre o escopo da lib, a organizacao da documentacao e a praticidade do uso ^^"", 'likes': 1}, {'comment_text': 'Parabéns pelo vídeo! Principalmente pela ""canja"" de ""we are the champions"". kkk', 'likes': 1}]"
Nr9zWU_DTgE,"[{'comment_text': 'Mais um inscrito,amigo.\nGostaria se possível de tirar proveito de sua experiência, visto que sou novato em python.\nandei testando criar telas com o PyQt e achei legal, mas tentei fazer usando o tkinter e observei que se eu estiver dentro de um ambiente virtual o tk não é reconhecido.\nO mesmo script funciona bem fora do ambiente visrtual.\nJá viu algo assim?', 'likes': 0}, {'comment_text': 'Vlw Camarada, salvou demais!', 'likes': 1}, {'comment_text': 'Simples e objetivo, obrigado', 'likes': 2}]"
USJwryd3pps,[]
